,,,,,,Type,,Date,,Num,,Memo,,Name,,Account,,Qty,,Sales Price,,Amount,,Balance
,Parts,,,,,,,,,,,,,,,,,,,,,,,
,,Bowl Cleaner,,,,,,,,,,,,,,,,,,,,,,
,,,BD-689 (Urinal Screen w/Non-Para Block  Cherry (12/cs)),,,,,,,,,,,,,,,,,,,,,
,,,,,,Invoice,,05/15/2013,,7595,,Urinal Screen w/Non-Para Block  Cherry (12/cs),,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,18.00,,18.00,,18.00
,,,,,,Invoice,,06/19/2013,,7812,,Urinal Screen w/Non-Para Block  Cherry (12/cs),,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,18.00,,18.00,,36.00
,,,,,,Invoice,,07/31/2013,,8033,,Urinal Screen w/Non-Para Block  Cherry (12/cs),,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,18.00,,18.00,,54.00
,,,,,,Invoice,,09/20/2013,,8405,,Urinal Screen w/Non-Para Block  Cherry (12/cs),,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,18.00,,18.00,,72.00
,,,,,,Invoice,,10/31/2013,,8685,,Urinal Screen w/Non-Para Block  Cherry (12/cs),,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,18.00,,18.00,,90.00
,,,,,,Invoice,,01/15/2014,,9079,,Urinal Screen w/Non-Para Block  Cherry (12/cs),,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,18.00,,18.00,,108.00
,,,Total BD-689 (Urinal Screen w/Non-Para Block  Cherry (12/cs)),,,,,,,,,,,,,,,6.00,,,,108.00,,108.00
,,,BE-79-12 (Non-Acid Bowl Cleaner 1qt 12/cs),,,,,,,,,,,,,,,,,,,,,
,,,,,,Invoice,,11/03/2010,,1004,,Non Acid bowl cleaner 12 / 1quart bottles,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.00,,36.00,,36.00
,,,,,,Invoice,,12/17/2010,,1314,,Non Acid bowl cleaner 12 / 1quart bottles,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.00,,36.00,,72.00
,,,,,,Invoice,,02/01/2011,,1619,,Non Acid bowl cleaner 12 / 1quart bottles,,GOLD'S Gym E Northport,,BD Sales Income,,2.00,,36.00,,72.00,,144.00
,,,,,,Invoice,,03/02/2011,,1827,,Non-Acid Bowl Cleaner 1 qt (12/cs),,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.00,,36.00,,180.00
,,,,,,Invoice,,05/12/2011,,2287,,Non-Acid Bowl Cleaner 1 qt (12/cs),,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.00,,36.00,,216.00
,,,,,,Invoice,,08/24/2011,,3106,,Non-Acid Bowl Cleaner 1 qt (12/cs),,GOLD'S Gym E Northport,,BD Sales Income,,3.00,,36.00,,108.00,,324.00
,,,,,,Invoice,,11/18/2011,,3800,,Non-Acid Bowl Cleaner 1 qt (12/cs),,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.00,,36.00,,360.00
,,,,,,Invoice,,12/15/2011,,3988,,Non-Acid Bowl Cleaner 1 qt (12/cs),,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.00,,36.00,,396.00
,,,,,,Invoice,,03/15/2012,,4570,,Non-Acid Bowl Cleaner 1 qt (12/cs),,GOLD'S Gym E Northport,,BD Sales Income,,2.00,,36.00,,72.00,,468.00
,,,,,,Invoice,,09/05/2012,,5842,,Non-Acid Bowl Cleaner 1 qt (12/cs),,GOLD'S Gym E Northport,,BD Sales Income,,2.00,,36.00,,72.00,,540.00
